record_id,cluster_id
r0430,e0192
r0431,e0398
r0432,e0399
r0433,e0400
r0434,e0360
r0435,e0401
r0436,e0402
r0437,e0275
r0438,e0100
r0439,e0403
r0440,e0404
r0441,e0405
r0442,e0406
r0443,e0407
r0444,e0408
r0445,e0409
r0446,e0410
r0447,e0411
r0448,e0381
r0449,e0412
r0450,e0413
r0451,e0414
r0452,e0415
r0453,e0416
r0454,e0417
r0455,e0418
r0456,e0419
r0457,e0420
r0458,e0421
r0459,e0422
r0460,e0423
r0461,e0140
r0462,e0424
r0463,e0130
r0464,e0425
r0465,e0426
r0466,e0427
r0467,e0428
r0468,e0429
r0469,e0303
r0470,e0156
r0471,e0430
r0472,e0431
r0473,e0088
r0474,e0432
r0475,e0433
r0476,e0434
r0477,e0435
r0478,e0436
r0479,e0260
r0480,e0238
r0481,e0437
r0482,e0438
r0483,e0439
r0484,e0440
r0485,e0441
r0486,e0442
r0487,e0443
r0488,e0444
r0489,e0445
r0490,e0282
r0491,e0174
r0492,e0046
r0493,e0446
r0494,e0015
r0495,e0447
r0496,e0448
r0497,e0449
r0498,e0450
r0499,e0451
r0500,e0452
r0501,e0453
r0502,e0454
r0503,e0455
r0504,e0456
r0505,e0457
r0506,e0458
r0507,e0428
r0508,e0459
r0509,e0460
r0510,e0267
r0511,e0461
r0512,e0415
r0513,e0287
r0514,e0462
r0515,e0463
r0516,e0464
r0517,e0406
r0518,e0465
r0519,e0466
r0520,e0467
r0521,e0468
r0522,e0469
r0523,e0470
r0524,e0471
r0525,e0472
r0526,e0473
r0527,e0474
r0528,e0475
r0529,e0476
r0530,e0296
r0531,e0477
r0532,e0478
r0533,e0479
r0534,e0480
r0535,e0063
r0536,e0481
r0537,e0482
r0538,e0483
r0539,e0484
r0540,e0485
r0541,e0486
r0542,e0487
r0543,e0488
r0544,e0489
r0545,e0490
r0546,e0491
r0547,e0492
r0548,e0493
r0549,e0494
r0550,e0495
r0551,e0186
r0552,e0496
r0553,e0283
r0554,e0142
r0555,e0497
r0556,e0054
r0557,e0498
r0558,e0077
r0559,e0499
r0560,e0500
r0561,e0304
r0562,e0501
r0563,e0127
r0564,e0502
r0565,e0171
r0566,e0503
r0567,e0504
r0568,e0114
r0569,e0505
r0570,e0166
r0571,e0506
r0572,e0212
r0573,e0507
r0574,e0098
r0575,e0508
r0576,e0509
r0577,e0510
r0578,e0511
r0579,e0512
r0580,e0513
r0581,e0514
r0582,e0515
r0583,e0012
r0584,e0438
r0585,e0516
r0586,e0399
r0587,e0517
r0588,e0419
r0589,e0099
r0590,e0518
r0591,e0519
r0592,e0520
r0593,e0521
r0594,e0522
r0595,e0278
r0596,e0523
r0597,e0254
r0598,e0524
r0599,e0525
r0600,e0034
r0601,e0526
r0602,e0527
r0603,e0528
r0604,e0529
r0605,e0530
r0606,e0531
r0607,e0532
r0608,e0533
r0609,e0534
r0610,e0535
r0611,e0536
r0612,e0537
r0613,e0332
r0614,e0532
r0615,e0538
r0616,e0539
r0617,e0342
r0618,e0540
r0619,e0541
r0620,e0542
r0621,e0543
r0622,e0544
r0623,e0217
r0624,e0545
r0625,e0230
r0626,e0399
r0627,e0420
r0628,e0274
r0629,e0546
r0630,e0379
r0631,e0519
r0632,e0283
r0633,e0269
r0634,e0547
r0635,e0548
r0636,e0549
r0637,e0550
r0638,e0551
r0639,e0552
r0640,e0553
r0641,e0285
r0642,e0554
r0643,e0555
r0644,e0550
r0645,e0377
r0646,e0508
r0647,e0556
r0648,e0557
r0649,e0558
r0650,e0536
r0651,e0559
r0652,e0321
r0653,e0560
r0654,e0561
r0655,e0562
r0656,e0563
r0657,e0430
r0658,e0564
r0659,e0344
r0660,e0409
r0661,e0565
r0662,e0566
r0663,e0567
r0664,e0568
r0665,e0496
r0666,e0569
r0667,e0570
r0668,e0571
r0669,e0572
r0670,e0573
r0671,e0348
r0672,e0308
r0673,e0574
r0674,e0575
r0675,e0576
r0676,e0577
r0677,e0333
r0678,e0578
r0679,e0579
r0680,e0580
r0681,e0581
r0682,e0251
r0683,e0322
r0684,e0473
r0685,e0582
r0686,e0583
r0687,e0378
r0688,e0584
r0689,e0462
r0690,e0254
r0691,e0178
r0692,e0585
r0693,e0084
r0694,e0586
r0695,e0587
r0696,e0588
r0697,e0589
r0698,e0152
r0699,e0081
r0700,e0040
r0701,e0590
r0702,e0591
r0703,e0570
r0704,e0552
r0705,e0359
r0706,e0592
r0707,e0409
r0708,e0593
r0709,e0594
r0710,e0595
r0711,e0596
r0712,e0597
r0713,e0598
r0714,e0599
r0715,e0600
r0716,e0601
r0717,e0602
r0718,e0603
r0719,e0604
r0720,e0385
r0721,e0605
r0722,e0606
r0723,e0310
r0724,e0607
r0725,e0608
r0726,e0609
r0727,e0610
r0728,e0611
r0729,e0612
r0730,e0613
r0731,e0614
r0732,e0615
r0733,e0616
r0734,e0066
r0735,e0402
r0736,e0617
r0737,e0618
r0738,e0619
r0739,e0114
r0740,e0295
r0741,e0620
r0742,e0188
r0743,e0338
r0744,e0621
r0745,e0622
r0746,e0289
r0747,e0308
r0748,e0623
r0749,e0447
r0750,e0151
r0751,e0271
r0752,e0624
r0753,e0625
r0754,e0579
r0755,e0366
r0756,e0522
r0757,e0626
r0758,e0627
r0759,e0628
r0760,e0629
r0761,e0626
r0762,e0630
r0763,e0631
r0764,e0632
r0765,e0633
r0766,e0634
r0767,e0635
r0768,e0636
r0769,e0367
r0770,e0637
r0771,e0638
r0772,e0578
r0773,e0639
r0774,e0640
r0775,e0641
r0776,e0642
r0777,e0643
r0778,e0378
r0779,e0644
r0780,e0645
r0781,e0646
r0782,e0647
r0783,e0247
r0784,e0011
r0785,e0358
r0786,e0453
r0787,e0648
r0788,e0155
r0789,e0649
r0790,e0650
r0791,e0651
r0792,e0652
r0793,e0510
r0794,e0653
r0795,e0621
r0796,e0654
r0797,e0629
r0798,e0655
r0799,e0656
r0800,e0657
r0801,e0658
r0802,e0344
r0803,e0254
r0804,e0328
r0805,e0659
r0806,e0660
r0807,e0661
r0808,e0145
r0809,e0662
r0810,e0663
r0811,e0664
r0812,e0665
r0813,e0666
r0814,e0667
r0815,e0668
r0816,e0669
r0817,e0670
r0818,e0671
r0819,e0672
r0820,e0034
r0821,e0673
r0822,e0674
r0823,e0675
r0824,e0423
r0825,e0676
r0826,e0415
r0827,e0677
r0828,e0678
r0829,e0679
r0830,e0680
r0831,e0681
r0832,e0080
r0833,e0682
r0834,e0683
r0835,e0684
r0836,e0245
r0837,e0060
r0838,e0115
r0839,e0685
r0840,e0317
r0841,e0686
r0842,e0473
r0843,e0293
r0844,e0687
r0845,e0521
r0846,e0688
r0847,e0689
r0848,e0429
r0849,e0690
r0850,e0242
r0851,e0691
r0852,e0103
r0853,e0363
r0854,e0692
r0855,e0693
r0856,e0155
r0857,e0664
r0858,e0694
r0859,e0070
r0860,e0695
r0861,e0289
r0862,e0696
r0863,e0207
r0864,e0365
r0865,e0697
r0866,e0698
r0867,e0658
r0868,e0152
r0869,e0689
r0870,e0417
r0871,e0699
r0872,e0700
r0873,e0701
r0874,e0702
r0875,e0294
r0876,e0703
r0877,e0057
r0878,e0276
r0879,e0704
r0880,e0705
r0881,e0706
r0882,e0323
r0883,e0697
r0884,e0001
r0885,e0115
r0886,e0707
r0887,e0708
r0888,e0709
r0889,e0710
r0890,e0647
r0891,e0711
r0892,e0712
r0893,e0713
r0894,e0551
r0895,e0714
r0896,e0715
r0897,e0716
r0898,e0362
r0899,e0717
r0900,e0718
r0901,e0372
r0902,e0719
r0903,e0029
r0904,e0128
r0905,e0720
r0906,e0721
r0907,e0722
r0908,e0723
r0909,e0148
r0910,e0374
r0911,e0724
r0912,e0443
r0913,e0546
r0914,e0296
r0915,e0281
r0916,e0725
r0917,e0524
r0918,e0300
r0919,e0511
r0920,e0433
r0921,e0719
r0922,e0726
r0923,e0727
r0924,e0728
r0925,e0729
r0926,e0578
r0927,e0730
r0928,e0473
r0929,e0731
r0930,e0732
r0931,e0733
r0932,e0181
r0933,e0734
r0934,e0085
r0935,e0484
r0936,e0735
r0937,e0015
r0938,e0736
r0939,e0074
r0940,e0737
r0941,e0738
r0942,e0235
r0943,e0697
r0944,e0739
r0945,e0528
r0946,e0296
r0947,e0740
r0948,e0741
r0949,e0130
r0950,e0742
r0951,e0743
r0952,e0744
r0953,e0569
r0954,e0745
r0955,e0746
r0956,e0432
r0957,e0747
r0958,e0748
r0959,e0749
r0960,e0173
r0961,e0121
r0962,e0750
r0963,e0137
r0964,e0125
r0965,e0751
r0966,e0752
r0967,e0753
r0968,e0754
r0969,e0510
r0970,e0671
r0971,e0755
r0972,e0756
r0973,e0757
r0974,e0150
r0975,e0758
r0976,e0564
r0977,e0759
r0978,e0760
r0979,e0692
r0980,e0761
r0981,e0762
r0982,e0290
r0983,e0763
r0984,e0764
r0985,e0722
r0986,e0765
r0987,e0766
r0988,e0767
r0989,e0210
r0990,e0127
r0991,e0768
r0992,e0769
r0993,e0770
r0994,e0771
r0995,e0772
r0996,e0270
r0997,e0773
r0998,e0774
r0999,e0775
r1000,e0438
r1001,e0492
r1002,e0776
r1003,e0777
r1004,e0652
r1005,e0778
r1006,e0779
r1007,e0016
r1008,e0748
r1009,e0007
r1010,e0780
r1011,e0353
r1012,e0280
r1013,e0781
r1014,e0782
r1015,e0783
r1016,e0323
r1017,e0784
r1018,e0785
r1019,e0786
r1020,e0091
r1021,e0059
r1022,e0787
r1023,e0788
r1024,e0654
r1025,e0789
r1026,e0790
r1027,e0542
r1028,e0734
r1029,e0603
r1030,e0791
r1031,e0586
r1032,e0792
r1033,e0793
r1034,e0794
r1035,e0795
r1036,e0796
r1037,e0797
r1038,e0424
r1039,e0798
r1040,e0799
r1041,e0375
r1042,e0800
r1043,e0544
r1044,e0341
r1045,e0801
r1046,e0540
r1047,e0425
r1048,e0044
r1049,e0487
r1050,e0802
r1051,e0095
r1052,e0803
r1053,e0804
r1054,e0457
r1055,e0805
r1056,e0217
r1057,e0806
r1058,e0807
r1059,e0808
r1060,e0013
r1061,e0354
r1062,e0809
r1063,e0810
r1064,e0217
r1065,e0811
r1066,e0812
r1067,e0813
r1068,e0814
r1069,e0815
r1070,e0816
r1071,e0152
r1072,e0674
r1073,e0817
r1074,e0818
r1075,e0641
r1076,e0647
r1077,e0819
r1078,e0263
r1079,e0670
r1080,e0820
r1081,e0821
r1082,e0822
r1083,e0200
r1084,e0823
r1085,e0824
r1086,e0229
r1087,e0825
r1088,e0612
r1089,e0826
r1090,e0067
r1091,e0103
r1092,e0443
r1093,e0827
r1094,e0828
r1095,e0122
r1096,e0035
r1097,e0829
r1098,e0830
r1099,e0831
r1100,e0832
r1101,e0833
r1102,e0834
r1103,e0210
r1104,e0835
r1105,e0752
r1106,e0720
r1107,e0523
r1108,e0836
r1109,e0837
r1110,e0420
r1111,e0838
r1112,e0839
r1113,e0840
r1114,e0841
r1115,e0165
r1116,e0404
r1117,e0230
r1118,e0823
r1119,e0442
r1120,e0578
r1121,e0842
r1122,e0843
r1123,e0844
r1124,e0228
r1125,e0845
r1126,e0296
r1127,e0265
r1128,e0846
r1129,e0847
r1130,e0457
r1131,e0411
r1132,e0848
r1133,e0849
r1134,e0825
r1135,e0265
r1136,e0850
r1137,e0700
r1138,e0256
r1139,e0641
r1140,e0619
r1141,e0851
r1142,e0852
r1143,e0853
r1144,e0854
r1145,e0282
r1146,e0709
r1147,e0641
r1148,e0248
r1149,e0626
r1150,e0637
r1151,e0855
r1152,e0089
r1153,e0712
r1154,e0856
r1155,e0325
r1156,e0857
r1157,e0858
r1158,e0280
r1159,e0859
r1160,e0860
r1161,e0861
r1162,e0862
r1163,e0151
r1164,e0185
r1165,e0631
r1166,e0187
r1167,e0863
r1168,e0864
r1169,e0660
r1170,e0865
r1171,e0323
r1172,e0440
r1173,e0612
r1174,e0109
r1175,e0285
r1176,e0866
r1177,e0144
r1178,e0867
r1179,e0549
r1180,e0422
r1181,e0868
r1182,e0869
r1183,e0312
r1184,e0870
r1185,e0423
r1186,e0860
r1187,e0871
r1188,e0006
r1189,e0637
r1190,e0785
r1191,e0180
r1192,e0872
r1193,e0536
r1194,e0709
r1195,e0873
r1196,e0455
r1197,e0874
r1198,e0600
r1199,e0548
r1200,e0832
r1201,e0875
r1202,e0876
r1203,e0877
r1204,e0878
r1205,e0391
r1206,e0879
r1207,e0880
r1208,e0155
r1209,e0290
r1210,e0034
r1211,e0244
r1212,e0881
r1213,e0543
r1214,e0237
r1215,e0180
r1216,e0882
r1217,e0883
r1218,e0884
r1219,e0885
r1220,e0886
r1221,e0318
r1222,e0887
r1223,e0470
r1224,e0132
r1225,e0673
r1226,e0235
r1227,e0888
r1228,e0889
r1229,e0890
r1230,e0657
r1231,e0891
r1232,e0892
r1233,e0893
r1234,e0894
r1235,e0367
r1236,e0895
r1237,e0454
r1238,e0420
r1239,e0159
r1240,e0896
r1241,e0591
r1242,e0897
r1243,e0898
r1244,e0899
r1245,e0900
r1246,e0901
r1247,e0902
r1248,e0903
r1249,e0904
r1250,e0905
r1251,e0415
r1252,e0906
r1253,e0907
r1254,e0733
r1255,e0908
r1256,e0909
r1257,e0265
r1258,e0910
r1259,e0911
r1260,e0137
r1261,e0744
r1262,e0912
r1263,e0652
r1264,e0913
r1265,e0914
r1266,e0915
r1267,e0692
r1268,e0207
r1269,e0836
r1270,e0916
r1271,e0917
r1272,e0773
r1273,e0089
r1274,e0474
r1275,e0918
r1276,e0919
r1277,e0194
r1278,e0920
r1279,e0921
r1280,e0922
r1281,e0923
r1282,e0746
r1283,e0924
r1284,e0925
r1285,e0926
r1286,e0284
r1287,e0280
r1288,e0421
r1289,e0191
r1290,e0927
r1291,e0928
r1292,e0929
r1293,e0930
r1294,e0931
r1295,e0932
r1296,e0933
r1297,e0096
r1298,e0934
r1299,e0935
r1300,e0936
r1301,e0937
r1302,e0383
r1303,e0938
r1304,e0563
r1305,e0939
r1306,e0202
r1307,e0940
r1308,e0941
r1309,e0413
r1310,e0942
r1311,e0800
r1312,e0943
r1313,e0944
r1314,e0101
r1315,e0160
r1316,e0764
r1317,e0214
r1318,e0489
r1319,e0945
r1320,e0946
r1321,e0947
r1322,e0187
r1323,e0948
r1324,e0949
r1325,e0859
r1326,e0950
r1327,e0533
r1328,e0951
r1329,e0695
r1330,e0952
r1331,e0953
r1332,e0645
r1333,e0188
r1334,e0954
r1335,e0152
r1336,e0955
r1337,e0956
r1338,e0957
r1339,e0896
r1340,e0958
r1341,e0959
r1342,e0290
r1343,e0877
r1344,e0960
r1345,e0961
r1346,e0884
r1347,e0962
r1348,e0715
r1349,e0963
r1350,e0819
r1351,e0964
r1352,e0011
r1353,e0965
r1354,e0966
r1355,e0967
r1356,e0968
r1357,e0969
r1358,e0152
r1359,e0970
r1360,e0215
r1361,e0971
r1362,e0388
r1363,e0972
r1364,e0973
r1365,e0974
r1366,e0233
r1367,e0033
r1368,e0841
r1369,e0319
r1370,e0242
r1371,e0975
r1372,e0976
r1373,e0977
r1374,e0425
r1375,e0041
r1376,e0381
r1377,e0978
r1378,e0979
r1379,e0980
r1380,e0981
r1381,e0622
r1382,e0062
r1383,e0281
r1384,e0606
r1385,e0125
r1386,e0982
r1387,e0784
r1388,e0567
r1389,e0316
r1390,e0059
r1391,e0983
r1392,e0984
r1393,e0985
r1394,e0980
r1395,e0569
r1396,e0986
r1397,e0987
r1398,e0922
r1399,e0024
r1400,e0988
r1401,e0356
r1402,e0686
r1403,e0989
r1404,e0990
r1405,e0991
r1406,e0992
r1407,e0993
r1408,e0994
r1409,e0550
r1410,e0214
r1411,e0995
r1412,e0996
r1413,e0997
r1414,e0757
r1415,e0998
r1416,e0999
r1417,e1000
r1418,e1001
r1419,e0018
r1420,e1002
r1421,e1003
r1422,e1004
r1423,e1005
r1424,e1006
r1425,e1007
r1426,e1008
r1427,e1009
r1428,e0964
r1429,e1010
r1430,e0009
r1431,e0544
r1432,e1011
r1433,e0001
r1434,e0782
r1435,e1012
r1436,e1013
r1437,e1014
r1438,e0202
r1439,e1015
r1440,e0348
r1441,e1016
r1442,e0424
r1443,e1017
r1444,e0727
r1445,e0128
r1446,e0698
r1447,e0504
r1448,e1018
r1449,e0098
r1450,e1019
r1451,e0459
r1452,e0309
r1453,e0410
r1454,e1020
r1455,e1021
r1456,e0725
r1457,e0741
r1458,e1022
r1459,e1023
r1460,e0197
r1461,e0862
r1462,e0018
r1463,e1024
r1464,e0573
r1465,e1025
r1466,e0029
r1467,e1026
r1468,e1027
r1469,e0690
r1470,e0851
r1471,e0073
r1472,e0501
r1473,e0120
r1474,e0485
r1475,e0738
r1476,e0684
r1477,e1028
r1478,e0941
r1479,e0269
r1480,e1029
r1481,e1030
r1482,e0281
r1483,e1031
r1484,e0925
r1485,e1032
r1486,e0455
r1487,e0151
r1488,e1033
r1489,e1034
r1490,e1035
r1491,e1036
r1492,e0050
r1493,e0376
r1494,e1037
r1495,e0326
r1496,e1038
r1497,e0636
r1498,e1039
r1499,e1040
r1500,e1041
r1501,e0976
r1502,e0357
r1503,e1042
r1504,e0754
r1505,e1043
r1506,e0853
r1507,e1044
r1508,e1045
r1509,e0625
r1510,e1046
r1511,e1047
r1512,e1048
r1513,e0781
r1514,e0284
r1515,e0917
r1516,e0106
r1517,e0922
r1518,e1049
r1519,e0688
r1520,e1050
r1521,e0066
r1522,e0075
r1523,e1051
r1524,e0744
r1525,e1052
r1526,e0786
r1527,e1053
r1528,e1054
r1529,e1027
r1530,e0776
r1531,e1024
r1532,e1055
r1533,e1056
r1534,e0174
r1535,e0027
r1536,e0855
r1537,e1057
r1538,e1058
r1539,e1059
r1540,e0510
r1541,e0631
r1542,e1060
r1543,e1029
r1544,e0757
r1545,e0427
r1546,e0293
r1547,e0189
r1548,e0515
r1549,e1061
r1550,e0088
r1551,e0558
r1552,e1062
r1553,e1063
r1554,e0982
r1555,e1016
r1556,e0929
r1557,e0736
r1558,e1064
r1559,e1065
r1560,e1066
r1561,e1067
r1562,e0395
r1563,e0137
r1564,e1068
r1565,e0521
r1566,e0191
r1567,e0813
r1568,e1069
r1569,e0036
r1570,e1070
r1571,e1071
r1572,e1072
r1573,e0314
r1574,e1029
r1575,e0670
r1576,e1073
r1577,e1074
r1578,e1075
r1579,e1076
r1580,e1077
r1581,e1028
r1582,e0308
r1583,e1078
r1584,e1079
r1585,e0130
r1586,e1080
r1587,e1081
r1588,e0256
r1589,e1082
r1590,e1083
r1591,e0391
r1592,e1084
r1593,e0989
r1594,e1085
r1595,e0211
r1596,e0930
r1597,e0664
r1598,e1086
r1599,e0003
r1600,e0295
r1601,e1004
r1602,e1087
r1603,e1088
r1604,e0433
r1605,e1089
r1606,e1074
r1607,e1090
r1608,e0006
r1609,e1091
r1610,e1092
r1611,e1093
r1612,e1094
r1613,e0258
r1614,e0650
r1615,e1095
r1616,e0103
r1617,e1096
r1618,e1097
r1619,e1098
r1620,e0752
r1621,e0199
r1622,e0377
r1623,e0635
r1624,e0974
r1625,e1099
r1626,e1100
r1627,e1101
r1628,e0816
r1629,e1102
r1630,e1103
r1631,e1104
r1632,e0916
r1633,e0367
r1634,e0612
r1635,e0402
r1636,e0861
r1637,e0568
r1638,e1105
r1639,e0681
r1640,e1106
r1641,e0340
r1642,e0838
r1643,e1107
r1644,e0128
r1645,e1108
r1646,e1109
r1647,e1110
r1648,e0334
r1649,e1111
r1650,e0795
r1651,e0488
r1652,e0722
r1653,e0344
r1654,e1112
r1655,e0995
r1656,e1113
r1657,e0345
r1658,e1114
r1659,e1115
r1660,e1116
r1661,e0997
r1662,e0593
r1663,e0362
r1664,e1117
r1665,e1118
r1666,e0728
r1667,e0719
r1668,e0188
r1669,e0784
r1670,e1119
r1671,e1120
r1672,e1121
r1673,e1122
r1674,e0063
r1675,e1123
r1676,e0962
r1677,e1124
r1678,e1125
r1679,e0027
r1680,e1126
r1681,e0586
r1682,e1127
r1683,e1128
r1684,e0416
r1685,e0822
r1686,e1129
r1687,e0900
r1688,e1130
r1689,e1131
r1690,e0851
r1691,e1132
r1692,e0122
r1693,e0984
r1694,e0336
r1695,e0145
r1696,e1133
r1697,e1134
r1698,e1135
r1699,e1136
r1700,e1137
r1701,e0356
r1702,e1049
r1703,e1138
r1704,e1139
r1705,e0150
r1706,e0123
r1707,e0547
r1708,e0330
r1709,e1140
r1710,e0403
r1711,e1100
r1712,e1141
r1713,e1142
r1714,e1143
r1715,e1144
r1716,e1145
r1717,e1146
r1718,e1147
r1719,e0055
r1720,e0322
r1721,e1148
r1722,e1149
r1723,e0287
r1724,e1150
r1725,e1070
r1726,e1151
r1727,e1152
r1728,e1153
r1729,e1117
r1730,e1154
r1731,e1155
r1732,e1156
r1733,e1157
r1734,e1158
r1735,e0682
r1736,e0748
r1737,e1159
r1738,e1160
r1739,e0907
r1740,e0421
r1741,e1161
r1742,e0334
r1743,e0131
r1744,e1162
r1745,e1163
r1746,e0334
